pays,nombre de cas,nombre de décés,Region,population,latitude,longitude
Belgium,1360650,25994,Europe,11589623,50.8467,4.3517
Djibouti,13486,182,Africa,988000,11.5950,43.1481
Equatorial Guinea,13368,167,Africa,1402985,3.7521,8.7737
Israel,1331519,8106,Asia,8655535,31.7833,35.2167
Zimbabwe,133047,4683,Africa,14862924,-17.8292,31.0522
Ghana,130077,1175,Africa,31072940,5.6037,-0.1870
Namibia,128956,3554,Africa,2540905,-22.5700,17.0836
Pakistan,1274017,28466,Asia,220892340,33.6989,73.0369
Uganda,126272,3217,Africa,45741007,0.3136,32.5811
Saint Lucia,12586,258,North America,183627,14.0167,-60.9833
South Sudan,12410,133,Africa,11193725,4.8500,31.6000
Cyprus,123251,576,Asia,1207359,35.1725,33.3650
Cambodia,118702,2800,Asia,16718965,11.5696,104.9210
Sweden,1174273,15006,Europe,10099265,59.3294,18.0686
Central African Republic,11579,100,Africa,4829767,4.3732,18.5628
Serbia,1155756,10078,Europe,8737371,44.8167,20.4667
El Salvador,113422,3647,North America,6486205,13.6989,-89.1914
Portugal,1091592,18171,Europe,10196709,38.7452,-9.1604
Cameroon,102499,1686,Africa,26545863,3.8578,11.5181
